SMILES,P_VSA_ppp_hal,P_VSA_v_3,P_VSA_v_2,P_VSA_LogP_8,P_VSA_m_4,P_VSA_p_2,P_VSA_MR_7,P_VSA_charge_6,P_VSA_e_5,TPSA(Tot),P_VSA_LogP_4,P_VSA_ppp_D,P_VSA_charge_1,SdO,MLOGP2,X%,C%,CATS2D_03_LL,CATS2D_04_LL,SM14_EA(dm),O%,MaxdO,F03[C-Cl],N%,F04[C-Cl],gmax,nX,piPC10,nCb-,F05[C-Cl],CATS2D_00_AA,F06[C-Cl],MaxsCl,F01[C-N],Eig15_EA(ed),C-026,LOGP99,nO,SaasC,nHM,ESOL,BLTA96,SHED_DA,nArX,nDB,Cl-089,nN,SpDiam_B(s),SM02_EA(dm),H-050,O-058,ATS5m,ATS4m,SM1_Dz(p),SpMax8_Bh(m),Hy,F05[Cl-Cl],SpMax6_Bh(m),F07[Cl-Cl],SpMax5_Bh(m),ATS3m,SpMax4_Bh(m),F06[Cl-Cl],ATS0m,SpMax3_Bh(m),GATS8p,SM2_B(m),B05[C-O],B01[C-N],B04[C-N],B02[O-O],AVS_B(m),B05[C-Cl],B06[C-Cl],B07[C-Cl],GATS1p,B04[Cl-Cl],GATS1i,B03[Cl-Cl],B08[C-Cl],SpMAD_EA(dm),B05[Cl-Cl],B07[Cl-Cl],DLS_04,AVS_B(p),B08[Cl-Cl],B06[Cl-Cl],SpMaxA_B(s),TPSA_efficiency,SpMax1_Bh(v),DLS_01,LLS_02,SIC1,Mp,Eta_psi1,Mv,SpMaxA_EA(dm),SpPosA_B(p),Eta_D_psiA,Eta_alpha_A,SpPosA_B(v),Eta_D_epsiB,Eta_D_epsiD,X1A,ChiA_B(p),logBCF,F_count,CF2_count,CF3_count,has_SO3,has_COO,F_heavy_ratio
Oc1ccc(cc1C)C,0.0,52.45030085,42.68334316,0.0,0.0,42.68334316,0.0,18.95249495,42.68334316,20.23,42.68334316,42.68334316,42.68334316,0.0,4.807788676,0.0,42.10526316,6,2,0.0,5.263157895,0.0,0,0.0,0,9.043703704,0,0.0,3,0,1,0,0.0,0,0.0,1,2.00904002,1,2.500833333,0,-2.603504896,-3.422667024,0.0,0,0,0,0,7.1430957,0.0,1,0,1.279397588,2.034992013,-0.78845736,0.360549548,-0.212707795,0,1.638009251,0,2.262593352,2.642623167,2.368735598,0,2.383748859,2.887967438,0.0,3.584485475,1,0,0,0,3.409237666,0,0,0,1.020401713,0,1.022887896,0,0,0.0,0,0,0.7,3.311715444,0,0,0.701379544,0.165575381,3.869456128,1.0,1.0,0.640449435,0.645342105,0.613207547,0.597305263,0.0,1.27169489,0.100792453,0.481481481,1.294530327,0.055157895,0.048518519,0.466486367,0.281983333,1.18,0.0,0.0,0.0,0.0,0.0,0.0
Oc1cccc(c1)C,0.0,49.91576911,42.68334316,0.0,0.0,42.68334316,0.0,18.95249495,42.68334316,20.23,42.68334316,42.68334316,42.68334316,0.0,3.456411422,0.0,43.75,3,1,0.0,6.25,0.0,0,0.0,0,8.813055556,0,0.0,2,0,1,0,0.0,0,0.0,1,1.700620003,1,1.425925926,0,-2.290597496,-3.089142658,0.0,0,0,0,0,7.017817248,0.0,1,0,0.687187522,1.782977509,-0.78845736,0.271104048,-0.157732438,0,0.948523679,0,1.882441879,2.343383567,2.203758629,0,2.285575173,2.784000814,0.0,3.484766116,0,0,0,0,3.433642374,0,0,0,0.949318657,0,0.952610737,0,0,0.0,0,0,0.5,3.323929874,0,0,0.789089364,0.187055016,3.8382856,1.0,1.0,0.675704883,0.65625625,0.602094241,0.613875,0.0,1.275533101,0.111905761,0.479166667,1.299455925,0.067613636,0.055092593,0.473461713,0.285695994,1.03,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C2CC2(C(=O)Nc1ccc(cc1Cl)Cl),78.29728812,124.6330473,110.9839479,78.29728812,78.29728812,110.9839479,78.29728812,78.29728812,92.97319723,66.4,98.58772163,60.69409384,60.69409384,22.277621,5.377340615,7.692307692,42.30769231,3,3,11.96747036,11.53846154,11.66066453,4,3.846153846,3,11.66066453,2,5.007296393,3,1,3,3,5.882134389,2,-4.94981644,3,2.652599968,3,1.24843876,2,-3.19340146,-3.548909359,1.960131704,2,2,2,1,8.278007126,2.74788611,2,2,3.401133391,3.604372034,-1.571652968,2.228461495,0.525968126,0,2.817077093,0,3.054026822,3.692136749,3.279039745,0,3.588332718,3.591684261,1.123097771,4.437244507,1,1,1,1,3.744487832,1,1,1,0.703861689,1,1.073445611,0,1,0.48854901,0,0,1.0,3.356205479,0,0,0.439834115,0.242238517,3.895971967,1.0,1.0,0.791265232,0.726615385,0.521466905,0.7098,0.130051238,1.237110194,0.192533091,0.489915966,1.263447167,0.078399725,0.067315347,0.443670611,0.279788891,-0.4,0.0,0.0,0.0,0.0,1.0,0.0
O=C(O)c2cc(cnc2(C1=NC(=O)C(N1)(C)C(C)C))COC,0.0,77.54506464,155.5548949,0.0,0.0,155.5548949,16.78552955,17.65040852,103.9730851,100.88,140.4721612,60.69409384,71.69398173,23.58979863,1.924724487,0.0,36.58536585,2,0,9.68377773,9.756097561,12.12661631,0,7.317073171,0,12.12661631,0,6.229003979,0,0,6,0,0.0,6,-2.529766993,0,1.217300102,4,0.784147193,0,-2.392356416,-2.617344401,5.585608947,0,3,0,3,8.349722192,2.760566747,2,2,3.694138949,3.817731646,-2.028148247,2.498885847,0.393196423,0,2.838047034,0,3.083496807,3.868214137,3.267954927,0,3.307457144,3.346415118,1.291357221,4.482471132,1,1,1,1,3.492114555,0,0,0,1.264691539,0,1.491370354,0,0,0.487773994,0,0,1.0,3.258691828,0,0,0.339925824,0.330353342,3.893580798,1.0,1.0,0.693351729,0.63234878,0.510169492,0.613117073,0.086586948,1.213061775,0.20383051,0.456060606,1.254376244,0.028328817,0.049494949,0.447423831,0.286797853,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
N#Cc1cc(c(O)c(c1)Br)Br,91.90818719,136.7582124,73.74269893,91.90818719,0.0,73.74269893,0.0,0.0,42.68334316,44.02,59.28508954,42.68334316,42.68334316,0.0,7.001878512,14.28571429,50.0,2,3,10.63804168,7.142857143,0.0,0,7.142857143,0,9.223101852,2,0.0,4,0,2,0,0.0,1,0.0,3,2.788880017,1,1.65037037,2,-3.863571142,-3.876106293,1.0,2,0,0,1,7.713538624,2.227861547,1,0,3.007509103,4.362065007,-0.669878554,0.463054614,-0.030836416,0,2.405051615,0,2.53992924,4.045261478,3.096144546,0,4.601926864,3.708694091,0.0,4.895058953,1,1,1,0,4.532121868,0,0,0,0.417670053,0,0.653176898,0,0,0.369945272,0,0,0.4,3.508594595,0,0,0.619983264,0.158968618,3.878705166,1.0,1.0,0.849914551,0.906257143,0.766666667,0.845728571,0.184972636,1.413828562,0.0,0.627272727,1.36456149,0.122142857,0.043181818,0.467915064,0.268133151,0.84,0.0,0.0,0.0,0.0,0.0,0.0
OC(Cc1ccccc1Cl)(CN2N=CNC2=S)C3(CC3)Cl,78.29728812,186.6929023,80.35889306,84.34067317,123.4893172,80.35889306,78.29728812,67.57738648,42.68334316,85.93,20.38969468,60.69409384,60.69409384,0.0,13.19147061,5.555555556,38.88888889,10,5,7.985453989,2.777777778,0.0,5,8.333333333,3,11.17280549,2,5.332718793,2,5,3,5,6.54458916,5,-3.459063782,1,2.518400028,1,1.498252,3,-3.891613986,-4.862006416,3.789291416,1,2,1,3,7.201715294,1.968509981,2,0,4.140755768,3.860248897,-1.16984709,2.760108053,0.424722151,0,3.109458755,0,3.260504223,4.067846244,3.321319325,1,3.818120674,3.955491547,0.779602282,4.637236056,1,1,1,0,3.758723483,1,1,1,0.702176903,0,1.101922527,0,1,0.22063935,0,0,1.0,3.427723483,0,1,0.299049047,0.249586105,3.936379433,1.0,1.0,0.754941424,0.726802778,0.58975026,0.675241667,0.076756525,1.28547914,0.124249741,0.514058957,1.276729051,0.047637944,0.049709159,0.431959587,0.278038887,1.27,0.0,0.0,0.0,0.0,0.0,0.0
O=C(Oc1cccc(N=CN(C)C)c1)NC,0.0,86.47539189,74.06540905,0.0,0.0,74.06540905,0.0,9.476247473,36.14481492,53.93,45.53462171,18.01075068,32.13495246,10.97861946,2.275241718,0.0,35.48387097,1,0,10.98141774,6.451612903,10.97861946,0,9.677419355,0,10.97861946,0,4.259152537,2,0,4,0,0.0,7,-5.22702402,2,1.626200065,2,1.197091837,0,-2.235527803,-2.738390439,2.828427125,0,2,0,3,8.13642207,2.479492017,1,1,3.041586978,3.086783696,-1.648658626,2.380162625,-0.168197248,0,2.593434566,0,2.814132984,3.199746885,2.928101206,0,2.98253419,3.409482368,0.814198086,4.150686692,1,1,1,1,3.407855822,0,0,0,1.414225249,0,1.783365347,0,0,0.513262964,0,0,1.0,3.196612072,0,0,0.464625527,0.243707352,3.835602354,1.0,1.0,0.655594325,0.628854839,0.528708134,0.60176129,0.136651436,1.213169509,0.185291871,0.460416667,1.246063642,0.047776809,0.033578431,0.475837013,0.299228451,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Oc1cc(c(cc1(OC))Cl)Cl,78.29728812,120.3774816,53.68323105,78.29728812,78.29728812,53.68323105,78.29728812,78.29728812,53.68323105,29.46,42.68334316,42.68334316,53.68323105,0.0,5.919908371,11.76470588,41.17647059,4,0,0.216809565,11.76470588,0.0,4,0.0,2,9.147700617,2,0.0,4,1,2,1,5.641512346,0,0.0,4,2.707599945,2,0.979243827,2,-3.1775663,-3.663086182,1.0,2,0,2,0,7.15604853,0.907935927,1,0,2.652736595,3.114815454,-1.103467151,1.005667279,-0.030836416,0,2.114675579,0,2.491990127,3.558210866,2.911685176,0,3.367882428,3.396011552,0.0,4.071667176,0,0,0,0,3.74115809,1,1,0,0.722755632,0,1.12415912,1,0,0.156363636,0,0,0.6,3.270103545,0,0,0.573970156,0.152618764,3.842669258,1.0,1.0,0.78765934,0.745317647,0.527615626,0.717164706,0.078181818,1.270173563,0.18638438,0.508658009,1.274904393,0.112093533,0.055339105,0.467915064,0.287656027,1.98,0.0,0.0,0.0,0.0,0.0,0.0
O=S(=O)(O)c1ccccc1CCCCCCCCCCCC,0.0,80.68537519,83.40904206,0.0,1.33902299,83.40904206,1.33902299,60.06473233,83.40904206,62.75,44.31295207,39.09608999,0.0,22.58270191,26.46726586,0.0,34.61538462,15,13,15.71875868,5.769230769,11.29135096,0,0.0,0,11.29135096,0,4.586242176,2,0,3,0,0.0,0,-2.674618246,1,5.396700035,3,0.787490524,1,-4.814298616,-6.374634667,1.0,0,2,0,0,8.739703477,2.896464272,1,2,3.446177828,3.653245858,-1.436726034,2.60105105,-0.354404635,0,3.064951252,0,3.298639779,3.678652738,3.488409728,0,3.455273768,3.63214384,0.931540339,4.471256577,1,0,0,1,3.374486052,0,0,0,1.422094876,0,1.349343643,0,0,0.265899378,0,0,0.9,3.20831787,0,0,0.353088727,0.192160465,3.979281773,0.75,0.75,0.435550677,0.623696154,0.60296846,0.562182692,0.132949689,1.234106802,0.11103154,0.492424242,1.250647915,0.022612732,0.022463768,0.479720915,0.299839,2.02,0.0,0.0,0.0,1.0,0.0,0.0
Oc1cc(c(c(c1(OC))Cl)Cl)Cl,117.4459322,153.5504848,53.68323105,117.4459322,117.4459322,53.68323105,117.4459322,117.4459322,53.68323105,29.46,42.68334316,42.68334316,53.68323105,0.0,7.488276366,17.64705882,41.17647059,3,2,0.216809565,11.76470588,0.0,6,0.0,4,9.244089506,3,0.0,5,1,2,1,5.702515432,0,0.0,5,3.360999927,2,0.486188272,3,-3.741649594,-3.966471518,1.0,3,0,3,0,7.249868631,0.907935927,1,0,2.734279932,3.702510723,-1.037410417,1.534309691,-0.002133474,0,2.118241027,0,2.911676807,3.972554509,3.178789277,0,3.630256108,3.396250722,0.0,4.245450922,0,0,0,0,3.860369916,1,1,0,0.620364103,1,1.116407439,1,0,0.143333333,0,0,0.4,3.285811583,0,0,0.526161519,0.129511584,3.857800224,1.0,1.0,0.765931853,0.795782353,0.526211279,0.765841176,0.071666667,1.290753791,0.187788725,0.525793651,1.283785453,0.12875411,0.053785104,0.464548839,0.28363316,2.46,0.0,0.0,0.0,0.0,0.0,0.0
