P_VSA_ppp_hal,P_VSA_v_3,P_VSA_LogP_8,P_VSA_charge_6,MLOGP2,C%,F04[C-Cl],LOGP99,ESOL,BLTA96,nArX,Cl-089,SM1_Dz(p),TPSA_efficiency,Eta_D_epsiD,logBCF
0,52.45030085,0,18.95249495,4.807788676,42.10526316,0,2.00904002,-2.603504896,-3.422667024,0,0,-0.78845736,0.165575381,0.048518519,1.18
0,49.91576911,0,18.95249495,3.456411422,43.75,0,1.700620003,-2.290597496,-3.089142658,0,0,-0.78845736,0.187055016,0.055092593,1.03
78.29728812,124.6330473,78.29728812,78.29728812,5.377340615,42.30769231,3,2.652599968,-3.19340146,-3.548909359,2,2,-1.571652968,0.242238517,0.067315347,-0.4
0,77.54506464,0,17.65040852,1.924724487,36.58536585,0,1.217300102,-2.392356416,-2.617344401,0,0,-2.028148247,0.330353342,0.049494949,-1
91.90818719,136.7582124,91.90818719,0,7.001878512,50,0,2.788880017,-3.863571142,-3.876106293,2,0,-0.669878554,0.158968618,0.043181818,0.84
78.29728812,186.6929023,84.34067317,67.57738648,13.19147061,38.88888889,3,2.518400028,-3.891613986,-4.862006416,1,1,-1.16984709,0.249586105,0.049709159,1.27
0,86.47539189,0,9.476247473,2.275241718,35.48387097,0,1.626200065,-2.235527803,-2.738390439,0,0,-1.648658626,0.243707352,0.033578431,0
78.29728812,120.3774816,78.29728812,78.29728812,5.919908371,41.17647059,2,2.707599945,-3.1775663,-3.663086182,2,2,-1.103467151,0.152618764,0.055339105,1.98
0,80.68537519,0,60.06473233,26.46726586,34.61538462,0,5.396700035,-4.814298616,-6.374634667,0,0,-1.436726034,0.192160465,0.022463768,2.02
117.4459322,153.5504848,117.4459322,117.4459322,7.488276366,41.17647059,4,3.360999927,-3.741649594,-3.966471518,3,3,-1.037410417,0.129511584,0.053785104,2.46
0,51.47668679,0,28.42874242,2.889960315,46.66666667,0,1.384800017,-1.990218904,-2.929988328,0,0,-1.223775432,0.305412266,0.057037037,1
0,96.76089238,0,48.41000645,5.278543265,33.33333333,0,4.501900055,-3.416289343,-3.527508055,0,0,-1.570052386,0.257037308,0.023254282,0.93
39.14864406,84.64968991,39.14864406,39.14864406,5.29696068,46.66666667,1,2.038199998,-2.615062603,-3.531512694,1,1,-1.165429462,0.238232101,0.056536797,1
117.4459322,161.8787536,117.4459322,117.4459322,10.20695666,40.90909091,4,3.498699948,-3.965809644,-4.424832806,3,3,-1.391754428,0.172646655,0.043154762,1.76
117.4459322,157.6459342,117.4459322,117.4459322,8.490184614,42.10526316,4,3.110199943,-3.650471377,-4.143792136,3,3,-1.391754428,0.18212776,0.047414966,1.38
39.14864406,83.31098804,89.89555814,39.14864406,6.292940487,42.85714286,1,2.77139996,-2.905602903,-3.738573397,1,1,-1.336920277,0.29080985,0,1.46
0,43.418485,50.74691408,0,1.815815156,37.5,0,1.700200036,-1.946277398,-2.577521857,0,0,-1.526056303,0.520052121,0.105555556,0.65
0,40.66173745,50.74691408,0,1.815815156,40,0,1.823599979,-2.091558852,-2.577521857,0,0,-1.648658626,0.474769983,0.060909091,0.74
0,56.78822295,50.74691408,0,2.892526637,38.88888889,0,2.126599975,-2.264500243,-2.930742966,0,0,-1.648658626,0.359451518,0,0.93
0,79.57695684,0,73.20580694,17.09630056,40,0,3.933400035,-3.863592575,-5.364767292,0,0,5.33E-15,0,0,3.24
0,43.418485,101.4938282,0,3.55662235,37.5,0,2.549399972,-2.456735344,-3.115900939,0,0,-1.945910149,0.545086843,0,-0.4
0,35.76198647,0,0,0.016690967,41.17647059,0,0.478000037,-1.20423384,-1.100806475,0,0,-1.85629799,0.523484712,0.098412698,0.56
0,51.79925763,0,28.42874242,7.00343264,40,0,2.528700039,-2.404129995,-3.87639994,0,0,-8.88E-16,0,0,2.24
0,75.80997979,0,72.62440484,8.129921947,50,0,2.329600006,-2.618691884,-4.081301799,0,0,0,0,0,1.13
0,65.47607752,0,25.24316747,1.229387395,46.66666667,0,1.724599995,-1.815399112,-2.338777433,0,0,-0.470003629,0.122586781,0,1.89
0,58.53436179,0,28.42874242,3.456411422,41.17647059,0,1.728299975,-2.096250996,-3.089142658,0,0,-0.470003629,0.112251563,0.05,0.83
0,78.34451153,0,63.14815736,10.03945602,47.36842105,0,2.638020024,-2.927824827,-4.398510062,0,0,-4.44E-15,0,0,1.55
89.76067963,182.0650013,15.51903207,74.50789336,16.74698624,44.06779661,0,6.45157994,-6.364578778,-5.32230818,0,0,-3.018344675,0.158122184,0,2.73
0,187.2086835,0,85.28622726,19.83068505,48.64864865,0,5.450299896,-4.926800146,-5.683165734,0,0,-1.407272768,0.133032549,0,2.39
0,90.95425679,0,28.42874242,4.055801697,33.33333333,0,2.466299959,-2.408591862,-3.243902107,0,0,-1.664834776,0.269934705,0,2.76
78.29728812,156.5751628,78.29728812,97.24978307,14.75874689,44.82758621,4,3.748600073,-4.328188137,-5.071711454,2,2,-0.595865058,0.194782348,0.100520208,2.33
117.4459322,204.0708017,117.4459322,117.4459322,15.90037178,46.42857143,3,5.290799893,-5.183071813,-5.217527026,3,3,-1.037410417,0.130327323,0.056259697,1.99
39.14864406,107.7238996,39.14864406,48.62489154,5.653895443,38.46153846,1,3.296899974,-3.205050651,-3.607792136,1,1,-1.336920277,0.179380382,0.039138322,2.16
0,65.76298633,0,32.21954116,5.164726748,27.5862069,0,1.457099922,-2.409980872,-3.502603518,0,0,-1.282848678,0.41260839,0.070238095,0.31
0,94.1919089,0,66.33373231,11.5518055,50,0,2.982999995,-3.585808395,-4.628794713,0,0,-0.78845736,0.109796472,0.03031746,1.4
0,90.22915654,0,37.90498989,7.76182725,44.82758621,0,2.44180011,-3.09740959,-4.016005608,0,0,-0.78845736,0.262443895,0.095438596,1.12
0,103.6681564,0,94.76247473,17.20420098,52,0,3.277399994,-3.818556612,-5.377794713,0,0,-3.20E-14,0,0,2.97
0,105.2493309,0,56.85748484,11.52589109,52.17391304,0,3.478899941,-3.60697466,-4.624980278,0,0,-0.78845736,0.054223945,0,2.57
0,102.1750626,0,56.85748484,9.53839967,44.82758621,0,3.145369954,-3.468901115,-4.318429968,0,0,-1.029619417,0.226749965,0.075,1.05
0,82.04661543,0,28.42874242,5.026004804,36,0,1.846400075,-1.725363367,-3.471875287,0,0,-0.470003629,0.023606557,0,0.54
0,6.317113026,0,0,0.878504227,24,0,-1.734699905,0.569093105,-0.292714437,0,0,-1.648658626,0.428427825,0.154615385,0.35
0,47.99991625,0,34.079208,12.01981075,30,0,3.688700058,-2.917910263,-4.696959871,0,0,-0.470003629,0.017475728,0,1.3
84.02898387,225.1819753,46.9081601,104.18029,23.13988988,45.61403509,3,7.39567991,-6.930048056,-6.040393943,1,1,-2.487902159,0.141863008,0.016768707,2.3
0,33.15229132,0,17.65040852,1.002142142,29.62962963,0,0.974600047,-1.448105919,-2.231070498,0,0,-1.029619417,0.087044534,0,0.23
45.9540936,148.9311313,45.9540936,66.33373231,8.80938096,54.54545455,0,3.865700036,-4.918973311,-4.198060134,1,0,-1.563812734,0.182677422,0.021678744,1.06
0,59.68194098,0,38.486392,7.559492908,32.25806452,0,3.362900041,-2.434791783,-3.979453202,0,0,-0.78845736,0.059053103,0,2.94
0,110.3183944,0,94.76247473,11.52170265,48.27586207,0,3.403399996,-3.470144257,-4.624363364,0,0,-0.78845736,0.046550333,0,2.48
0,61.06889352,0,28.42874242,4.807788676,40,0,2.118399978,-2.2962685,-3.422667024,0,0,-0.470003629,0.099257426,0.044444444,1.05
0,69.46527039,0,47.38123737,5.026004804,39.13043478,0,1.748200029,-2.260983557,-3.471875287,0,0,-0.470003629,0.023959181,0,1.05
195.7432203,271.1143465,195.7432203,195.7432203,27.19748426,52.17391304,8,6.745899849,-6.486258361,-6.445120733,5,5,-0.212284808,0.026955201,0,3.95
0,70.19202302,0,42.98488964,25.90084799,37.5,0,4.685300022,-4.300882797,-6.319287572,0,0,-0.78845736,0.091791824,0.026348039,2.57
0,142.6978357,0,77.69346832,15.25645219,43.1372549,0,5.152000062,-4.792149715,-5.135950869,0,0,-1.526056303,0.116520917,0,3.55
45.9540936,266.9009982,45.9540936,191.8886044,45.06081759,53.44827586,0,8.687899992,-8.824424767,-7.942735477,1,0,-0.949299885,0.121480603,0.012592593,4.6
39.14864406,95.16396529,39.14864406,58.10113901,5.618330617,50,1,2.152499989,-2.62307388,-3.600301799,1,1,-0.696790535,0.121434161,0,0.32
0,120.3657968,0,113.4973518,54.42773293,31.25,0,8.649200007,-6.143811622,-8.607515363,0,0,0.580090458,0.145922252,0,1.15
0,66.9956118,0,55.55539842,12.68970074,41.66666667,0,2.811400026,-3.22543723,-4.792260622,0,0,1.95E-14,0,0,2.71
0,94.76247473,0,88.39132483,11.46491437,50,0,2.972600028,-3.016946551,-4.615987946,0,0,-7.11E-15,0,0,2.48
0,53.15356374,0,0,2.148371872,40,0,1.426500008,-1.928811171,-2.695732538,0,0,-1.386294361,0.326299775,0.088578089,0.07
54.10875733,184.4611227,39.14864406,56.17921784,11.10283328,45.94594595,1,3.610099914,-4.43700213,-4.562091427,2,1,-2.122285491,0.16482731,0,1.53
0,61.73791711,0,18.95249495,1.105734488,39.13043478,0,1.259299994,-2.166504892,-2.281539104,0,0,-1.648658626,0.350452382,0.074404762,0.3
91.90818719,135.923386,91.90818719,91.90818719,14.40107845,50,0,3.211600006,-4.150081018,-5.024875287,2,0,0.613021136,0,0,2.25
45.9540936,86.91418794,45.9540936,45.9540936,5.272213826,46.15384615,0,2.154699996,-2.946546715,-3.526130185,1,0,-0.574926549,0.116929657,0.056018519,1.21
0,61.92654832,0,44.2761398,8.653404878,44.44444444,0,2.303440019,-2.842986629,-4.171667024,0,0,0,0,0,1.17
39.14864406,92.5650197,39.14864406,61.28671396,10.3019624,46.66666667,1,2.648419984,-3.148472928,-4.439667024,1,1,0.176219645,0,0,1.8
78.29728812,123.2034911,78.29728812,78.29728812,12.09416793,50,2,2.993399948,-3.453959226,-4.707667024,2,2,0.325988907,0,0,2.65
39.14864406,83.31098804,39.14864406,39.14864406,4.524735886,42.85714286,1,1.922200024,-2.45080234,-3.357142658,1,1,-0.341672975,0.203950462,0.107142857,0.72
39.14864406,80.55424049,39.14864406,39.14864406,4.524735886,46.15384615,1,2.045599967,-2.596083794,-3.357142658,1,1,-0.696790535,0.157358432,0.064616402,1.42
0,41.68280322,0,0,12.01981075,28.57142857,0,4.324500062,-3.700296597,-4.696959871,0,0,-0.356694944,0.065872163,0.019007937,3.92
91.90818719,96.71630967,91.90818719,91.90818719,4.956859581,25,0,1.776200026,-2.523680009,-3.456400589,0,0,0.613021136,0,0,0.93
39.14864406,67.24137485,0,9.476247473,2.795455282,33.33333333,0,1.411199994,-1.564719894,-2.901961507,0,0,0.176219645,0,0,0.5
0,10.06833208,0,0,3.840039253,17.64705882,0,-2.538899913,1.013160265,0.72960181,0,0,-1.957951644,0.710970966,0.185384615,-0.3
0,4.263508521,0,0,3.840039253,16.66666667,0,-1.204199925,0.541541935,0.72960181,0,0,-1.957951644,0.689987581,0.22952381,1.4
0,56.78784373,0,45.42810773,9.896432642,33.33333333,0,2.998700038,-2.681352197,-4.375859603,0,0,-5.33E-15,0,0,2.81
39.14864406,134.6273814,39.14864406,84.57675179,16.1060582,37.20930233,1,3.341499977,-4.045518665,-5.243235379,1,1,-1.336920277,0.165464822,0.023922902,2
91.90818719,135.923386,91.90818719,101.3844347,14.40107845,50,0,3.211600006,-4.150081018,-5.024875287,2,0,0.613021136,0,0,2.8
0,61.92654832,0,44.2761398,8.653404878,44.44444444,0,2.303440019,-2.842986629,-4.171667024,0,0,6.22E-15,0,0,1.17
39.14864406,83.31098804,39.14864406,48.62489154,4.524735886,42.85714286,1,1.922200024,-2.45080234,-3.357142658,1,1,-0.341672975,0.203950462,0.107142857,0.33
39.14864406,80.55424049,39.14864406,48.62489154,4.524735886,46.15384615,1,2.045599967,-2.596083794,-3.357142658,1,1,-0.696790535,0.157358432,0.064616402,1.14
0,43.418485,0,9.476247473,0.797685563,37.5,0,0.8510001,-1.474599062,-2.123132444,0,0,-0.78845736,0.481139053,0.166666667,0.81
0,94.76247473,0,78.91507736,11.46491437,50,0,2.972600028,-3.016946551,-4.615987946,0,0,1.07E-14,0,0,2.54
78.29728812,101.6468233,0,0,5.170437494,28.57142857,2,2.257599972,-2.422399848,-3.503859603,0,0,-0.595865058,0.053951368,0,1.02
0,36.73907906,0,0,0.963263558,28.57142857,0,1.450400025,-1.701215065,-2.211459911,0,0,-1.757857918,0.209487063,0,1.04
0,64.46108006,0,28.42874242,10.62026814,42.85714286,0,2.611860037,-3.152119572,-4.488875287,0,0,-2.66E-15,0,0,2.35
117.4459322,156.3764942,117.4459322,117.4459322,16.5069556,50,3,3.646799929,-4.068578467,-5.292875287,3,3,0.456221592,0,0,3.14
0,5.697278277,0,0,0.000413501,20,0,-1.381799877,-0.575411729,-1.209665274,0,0,-1.526056303,0.925326992,0.266666667,0.33
0,0,0,0,0.000413501,25,0,-1.011600047,-1.011256089,-1.209665274,0,0,-1.85629799,0.769695561,0.197222222,-0.48
