SMILES,logBCF
Oc1ccc(cc1C)C,1.18
Oc1cccc(c1)C,1.03
O=C(O)C2CC2(C(=O)Nc1ccc(cc1Cl)Cl),-0.4
O=C(O)c2cc(cnc2(C1=NC(=O)C(N1)(C)C(C)C))COC,-1
N#Cc1cc(c(O)c(c1)Br)Br,0.84
OC(Cc1ccccc1Cl)(CN2N=CNC2=S)C3(CC3)Cl,1.27
O=C(Oc1cccc(N=CN(C)C)c1)NC,0
Oc1cc(c(cc1(OC))Cl)Cl,1.98
O=S(=O)(O)c1ccccc1CCCCCCCCCCCC,2.02
Oc1cc(c(c(c1(OC))Cl)Cl)Cl,2.46
O=C(O)c1ccccc1,1
O=C1C(=C(O)CC(C1)CC(C)SCC)C(=NOCC)CCC,0.93
O=C(O)c1ccc(cc1)Cl,1
O=C(O)C(Oc1cc(c(cc1Cl)Cl)Cl)C,1.76
O=C(O)COc1cc(c(cc1Cl)Cl)Cl,1.38
O=[N+](c1ccc(cc1)Cl)[O-],1.46
O=[N+](c1ccc(cc1)N)[O-],0.65
O=[N+](c1ccc(cc1)O)[O-],0.74
O=[N+](c1ccc(cc1)OC)[O-],0.93
c1cc(ccc1C(C)C)C(C)C,3.24
O=[N+]([O-])c1ccc(cc1)[N+](=O)[O-],-0.4
OC(=O)c1ccc(nc1)C(=O)O,0.56
C=CC1CCC=CC1,2.24
C=Cc1ccccc1,1.13
C=Cc1ccncc1,1.89
CNc1ccccc1,0.83
C=Cc1cccc(c1)C,1.55
N#CC(OC(=O)C1C(C=CC(=O)OC(C(F)(F)F)C(F)(F)F)C1(C)(C))c3cccc(Oc2ccccc2)c3,2.73
O(c1ccccc1)P(Oc2ccccc2)Oc3ccccc3,2.39
O=P(OC)(OC)Oc1ccccc1,2.76
Clc1c(ccc(c1)Cc1cc(c(cc1)N)Cl)N,2.33
O=C(Nc1ccc(c(c1)Cl)Cl)Nc1ccc(cc1)Cl,1.99
O=C(OC(C)C)Nc1cccc(c1)Cl,2.16
n1c(nc(nc1NCC)SC)NCC,0.31
Oc1ccc(cc1)Cc1ccccc1,1.4
Nc1ccc(cc1)Cc1ccc(cc1)N,1.12
C(c1ccccc1)c1ccccc1,2.97
O(c1ccccc1)c1ccccc1,2.57
N=C(Nc1ccccc1)Nc1ccccc1,1.05
C=CCN(CC=C)CC=C,0.54
OCCN(CCO)CCO,0.35
N(CCCC)(CCCC)CCCC,1.3
N#CC(OC(=O)C(Nc1ccc(cc1Cl)C(F)(F)F)C(C)C)c3cccc(Oc2ccccc2)c3,2.3
O1CCN(CC1)CC(C)C,0.23
O=C1C(c2nc3c(c(c2O)Br)cccc3)C(=O)c2c1cccc2,1.06
CCC(CCCC)COC=C,2.94
C(c1ccccc1)OCc1ccccc1,2.48
CCNc1ccccc1,1.05
CN(Cc1ccccc1)C,1.05
Clc1c(c(cc(c1)Cl)Cl)Oc1ccc(cc1Cl)Cl,3.95
Oc1ccc(cc1)CCCCCCCCC,2.57
CC(=CC1C(C1(C)C)C(=O)OCc1coc(c1)Cc1ccccc1)C,3.55
O=C2c1ccccc1SC(O)=C2C6c3ccccc3CC(c4ccc(cc4)c5ccc(cc5)Br)C6,4.6
O=Cc1ccc(cc1)Cl,0.32
CCCCCCCCCCSSCCCCCCCCCC,1.15
CCc1ccc(cc1)CC,2.71
C=Cc1ccc(C=C)cc1,2.48
CNc1ccc(cc1)C(=O)O,0.07
O=C(OCC#C)C(Oc2ccc(Oc1ncc(cc1(F))Cl)cc2)C,1.53
O=C(NC1=Nc2c(cccc2)N1)OC,0.3
Brc1ccc(cc1)Br,2.25
Oc1ccc(cc1)Br,1.21
c1cc(ccc1C)C,1.17
Cc1ccc(cc1)Cl,1.8
c1cc(ccc1Cl)Cl,2.65
Nc1ccc(cc1)Cl,0.72
Oc1ccc(cc1)Cl,1.42
O[Sn](CCCC)(CCCC)CCCC,3.92
BrCCBr,0.93
C=CCCl,0.5
O=C([O-])CNCP(=O)(O)O,-0.3
OC(=O)CNCP(=O)(O)O,1.4
CC(CC(=C)C)(C)C,2.81
OC(Cn1ncnc1)(CCc2ccc(cc2)Cl)C(C)(C)C,2
c1cc(cc(c1)Br)Br,2.8
c1cc(cc(c1)C)C,1.17
Nc1cccc(c1)Cl,0.33
Oc1cc(ccc1)Cl,1.14
Nc1cc(ccc1)N,0.81
C=Cc1cccc(C=C)c1,2.54
CC(OC(CCl)C)CCl,1.02
O1C(OC(OC(OC1C)C)C)C,1.04
Cc1cc(cc(c1)C)C,2.35
Clc1cc(cc(c1)Cl)Cl,3.14
Nc1nc(nc(n1)N)N,0.33
Oc1nc(nc(n1)O)O,-0.48
Brc1ccccc1,1.4
CC1CCCCC1,2.32
c1ccc(cc1)C,0.92
Clc1ccccc1,1.31
Oc1ccccc1,0.9
Clc1ccccn1,1.03
CCCCCl,1.22
c1cocc1,0.52
c1cscc1,0.79
C(#CC)c1nc(nc(c1)C)Nc2ccccc2,2.45
O=C(NCCNC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,0.32
C1CCCCC1,1.94
C1CNCCN1,0.41
O1CCNCC1,0.22
CC(COCC(C)O)O,0.56
NCCNCCN,0.5
NCCNCCO,0.29
ClCCOCCCl,0.62
O=C(OCCON=C(C)C)C(Oc3ccc(Oc1nc2ccc(cc2(nc1))Cl)cc3)C,2.77
CCCCCCCCN(CCCCCCCC)CCCCCCCC,1.95
CCCCCCCCC,3.15
N#CCCNCCC#N,-0.13
FC(F)C(F)(F)OCC(c1ccc(cc1Cl)Cl)Cn2ncnc2,1.55
CCCCCCCCCCCC,2.59
O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2ccc(cc2)CC,1.84
CCCCCCCCCCC=C,3.4
OC(=O)c1cc2ccc(cc2cc1)C(=O)O,0.68
N#CC(c1ccccc1)(Cn2ncnc2)CCc3ccc(cc3)Cl,2.2
ClC12C(C(C(C1(Cl)Cl)(C(=C2Cl)Cl)Cl)C(=O)O)C(=O)O,0.08
O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,3.44
OC(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)C(Cl)(Cl)Cl,3.78
OCC(CO)(CO)CO,0.03
O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3,2.38
CCOP(=S)(Oc1ccc(cc1)S(=O)C)OCC,1.68
O=P(OCCCl)(OCCCl)OCCCl,0.16
O(c1c(c(c(c(c1Br)Br)Br)Br)Br)c2c(c(c(c(c2Br)Br)Br)Br)Br,2.29
O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(OC(F)(F)C(F)OC(F)(F)F)c(c2)Cl,3.32
O=[N+]([O-])c1c(c(cc(c1Cl)Cl)Cl)Cl,3.25
O=C(OC)C(=COC)c1ccccc1COc2nc(ccc2)C(F)(F)F,2.46
O=C1c2cc(ccc2C(=O)c2c1cccc2)N,1.55
O=C(c1c(cccc1)C(=O)OCC(CCCC)CC)OCC(CCCC)CC,2.38
O1CC(OC12(CCC(CC2)C(C)(C)C))CN(CC)CCC,1.9
O=S(=O)(c1cc(cc2c1cc(cc2)O)S(=O)(=O)O)O,0.5
c1ccc2c(c1)cccc2(NCC),2.35
Clc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,4.27
Oc1c(cc(cc1Br)Br)Br,2.71
FC(c1c(ccc(c1)Cl)[N+](=O)[O-])(F)F,1.95
Clc1c(cccc1)C(=O)O,0.75
