SMILES,logKow
C1COCCOCCOCCOCCOCCO1,-0.68
c1ccc2c(c1)OCCOCCOCCOCCOc1ccccc1OCCOCCOCCOCCO2,1.8
Cc1n[se]nc1C,0.89
Nc1nc(N)c2c(Cl)cccc2n1,1.72
N#Cc1ccc2c(c1)C(c1ccccc1)=NCC(O)=N2,1.82
Cc1oc2ccccc2c(=O)c1C,2.31
COc1ccc2c(c1)OC(C)(C)C=C2,3.35
CN(C)C(CSS(=O)(=O)c1ccccc1)CSS(=O)(=O)c1ccccc1,3.36
OC1=Nc2ccc(Cl)cc2C(c2ccccc2F)=NC1O,1.81
c1ccc(-c2ncnc3ccccc23)cc1,2.71
Cn1c(=O)nc(-c2ccccc2)c2ccccc21,1.79
COc1nc(-c2ccccc2)c2ccccc2n1,3.5
CCc1nonc1C,1.18
Cc1nonc1N,0.09
COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,1.83
Nc1ncnc2nc(-c3cccc([N+](=O)[O-])c3)[nH]c12,1.93
CCCOC(=O)NC,0.95
CNC(=O)NN,-2.2
CC(=O)Nc1c(Cl)cccc1Cl,1.32
CC1(C)N=C(N)N=C(N)N1c1cccc([N+](=O)[O-])c1,0.06
Nc1ncnc2nc(-c3ccccc3)[nH]c12,2.31
CC1CCCC(C)N1N=O,1.36
c1cncc(CN2CCOCC2)c1,0.04
CC1=C(C(=O)Nc2ccccc2)S(=O)CCO1,0.64
CC1(C)Oc2c(O)cccc2C1=O,1.87
CNP(=O)(OC)Oc1ccc(OC)cc1,1.06
O=C1c2ccccc2C(=O)N1SC1CCCCC1,3.66
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,1.26
O=C(O)c1ccc(Cl)cc1Nc1cccc(Cl)c1,5
CC(C)(C)C(=O)NN,-0.35
OCCCCc1ccccn1,0.86
C=C(C)C1CC=C(C=O)CC1,3.13
COc1cc(C(=O)OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)cc(OC)c1OC,3.75
O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1,5.19
NC(=O)c1c(F)cccc1F,0.25
O=C(Cc1ccccc1)Nc1cccc(Cl)c1,3.61
CCN(CC)CCCN(C(=O)Cc1ccccc1)c1c(C)cccc1C,4.94
CCc1ncc(C)nc1CC,1.95
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,5.51
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,5.4
CNC(=O)Oc1ccc(C#N)cc1,0.95
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,2.16
O=C1CCC2CCC(=O)N12,-1.11
CC(C)C(=O)CC(=O)C(C)C,2.22
O=C1CCC(=O)N1c1ccccc1[N+](=O)[O-],0.36
CCOC(CCC#N)OCC,0.75
CSc1ccccn1,1.71
