SMILES,SM1_Dz(p),SpMaxA_B(s),P_VSA_v_3,P_VSA_p_2,MLOGP2,LOGP99,ESOL,BLTA96,logBCF
Cc1cc(Cl)ccc1OCC(=O)O,-1.483262257,0.575137894,93.83445968,78.82815808,4.352756748,2.111819997,-2.716829124,-3.316326136,0
O=C(Oc1cccc(N=CN(C)C)c1)NC,-1.648658626,0.464625527,86.47539189,74.06540905,2.275241718,1.626200065,-2.235527803,-2.738390439,0
CC1CCCC(C)N1,-0.470003629,0.494029119,25.25400374,18.01075068,2.397342006,1.536900058,-1.784011632,-2.778335237,-0.3
O=CNC(N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,-1.535532997,0.338200856,265.3053267,92.55998322,1.969506553,1.488599986,-3.433175402,-2.63339109,0
CC(O)COC(C)COC(C)CO,-1.757857918,0.482616651,35.66038255,107.3664621,0.004444646,0.169700071,-0.556243254,-1.296668175,-0.3
Oc1cc(cc2c1ccc(c2)N)S(=O)(=O)O,-1.792908808,0.485499423,58.17367064,158.9895727,0.840182359,1.374300066,-2.320570997,-2.146614619,0.11
CCCCO,-0.78845736,1.253260408,13.89426774,42.68334316,0.639938413,0.778800033,-0.888615436,-2.029961507,-0.4
CO[P](=O)(OC)OC=C(Cl)Cl,-1.589112749,0.672500061,131.9766182,41.0281086,1.55315096,2.680399939,-1.997828724,-2.476254773,-0.096910013
ClCCO[P](=O)(OCCCl)OCCCl,-1.548987026,0.528350989,156.3352533,41.0281086,5.558599224,2.860699914,-2.753869885,-3.587668175,-0.096910013
COC(OC)N(C)C,-1.386294361,0.584581406,38.55886854,25.12408967,0.505281176,0.124400042,-0.85496499,-1.940831328,-0.12
CC1=CC(=O)CC(C)(C)C1,-0.78845736,0.742595755,49.33997602,25.14492703,3.789283497,2.321800038,-2.346333907,-3.176608203,0.14
O=C(O)Cc1cccc2ccccc12,-1.223775432,0.534042789,78.10964224,67.82827019,7.785166781,2.466900036,-3.013907138,-4.020191173,0.11
CCCCCCCCCCCCCCCCCCS,0.33153148,0.204345508,88.84103183,0,47.85414694,7.177700035,-5.361237813,-8.147669184,-0.04
Cc1ccc(N)cc1,-0.470003629,0.598962311,52.67251666,32.89718747,3.456411422,1.57722006,-2.145316042,-3.089142658,0.11
N#CCCNCCC#N,-1.029619417,0.75744964,42.48396492,80.12946222,0.145858912,0.403360047,-0.338310735,-0.848085204,-0.13
Nc1c(Cl)cc(-c2cc(Cl)c(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,-2.107591585,0.323823464,140.86765,232.6124591,1.007954377,2.318200043,-3.452673577,-2.233969311,-1
Nc1nc(N)nc(N)n1,-1.526056303,0.585925448,5.697278277,149.0481511,0.000413501,-1.381799877,-0.575411729,-1.209665274,-0.42
O=P(OC=C(Cl)Cl)(OC)OC,-1.589112749,0.672500061,131.9766182,41.0281086,1.55315096,2.680399939,-1.997828724,-2.476254773,-0.25
CN(C(C)=O)c1ccccc1,-1.029619417,0.675421787,72.06421598,28.26924093,3.781939603,1.669299997,-2.163885157,-3.174720958,-0.13076828
Nc1nc(N)nc(Nc2nc(N)nc(N)n2)n1,-2.028148247,0.309153539,11.39455655,250.3126779,1.397777242,-1.870999888,-1.32183288,-2.412276297,-1
COCN(COC)c1nc(nc(n1)N(COC)COC)N(COC)COC,-2.468099531,0.187077642,95.97696763,125.7288577,3.64598606,-0.085800022,-1.660252826,-3.139446532,-0.698970004
O=C(O)c1c(cccc1Cl)Cl,-1.103467151,0.679842896,117.822693,67.82827019,8.333157887,2.69159998,-3.240822753,-4.116720958,0.02
O=C1NC(=O)NC(=O)N1,-1.85629799,0.829292254,12.82746761,129.4670331,1.533472893,-0.871199861,-0.187854332,0.008334726,-1
CC(C(C(C)C)O)(CO)C,-1.223775432,0.628337878,35.30081705,85.36668632,1.940645413,1.021800071,-1.476428792,-2.623070498,-0.16
Cc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,-1.945910149,0.601742074,45.95301674,112.8339304,5.013667543,2.857819989,-2.791564642,-3.469122047,-0.568636236
CN(C)C=O,-1.029619417,1.487587773,27.78807619,28.26924093,0.074480218,-0.29559996,-0.253042481,-0.957089359,-0.13
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,-1.9750389,0.558236897,46.08602614,139.8260073,1.399132634,1.673120003,-2.255443391,-2.412849371,-0.4
CNC(=O)Oc1cccc(N=CN(C)C)c1,-1.648658626,0.464625527,86.47539189,74.06540905,2.275241718,1.626200065,-2.235527803,-2.738390439,0
CC(C1=NC(=O)C=C(N1)C)C,-1.223775432,0.675586268,45.7411779,59.94120726,2.917597967,1.074500076,-1.763319767,-2.938097763,0.11
COC(=O)Nc1[nH]c2ccccc2n1,-1.648658626,0.531006004,61.73791711,87.7266247,1.105734488,1.259299994,-2.166504892,-2.281539104,0.041392685
O=C(O)COc1ccc(Cl)cc1Cl,-1.438554688,0.575137965,124.4729311,78.82815808,5.542851557,2.456799962,-3.022315422,-3.584326136,-0.5
C=CCOP(=O)(OCC=C)OCC=C,-1.664834776,0.528352013,106.0701336,41.0281086,4.256424402,2.702300027,-1.912450072,-3.293110371,-0.09
ClCC=C,0.176219645,1.158523432,67.24137485,0,2.795455282,1.411199994,-1.564719894,-2.901961507,-0.055517328
c1ccc2ncccc2c1,-0.470003629,0.485624809,70.62200629,16.78552955,4.266714144,2.234799989,-2.677283868,-3.29560261,0
OC(=O)c1cc2ccccc2cc1O,-1.526056303,0.534169886,66.09886303,110.5116134,7.400414826,2.243600033,-2.988009586,-3.950370347,0.146128036
O=C(O)C1CCCCC1(C(=O)O),-1.757857918,0.623443424,11.9578759,135.6565404,0.531441362,0.962000057,-1.522626471,-1.959000248,0.05
C1COCCN1,-1.029619417,0.728004192,13.39617845,29.01063857,0.223565937,-0.393799953,-0.254193027,-0.757172402,-0.02
OC(=O)C(O)(c1ccccc1)c2ccccc2,-1.526056303,0.439943948,102.0434991,110.5116134,5.808093344,2.007100031,-2.965291825,-3.639998619,-0.698970004
CN(C)P(=O)(N(C)C)N(C)C,-1.248410654,0.671318069,58.46641764,20.26321783,1.832542776,0.779300064,-1.428712354,-2.583714437,-0.3
O=C(Nc1cc2cc(cc(c2cc1)O)S(=O)(=O)O)Nc1cc2cc(cc(c2cc1)O)S(=O)(=O)O,-2.50256646,0.228582867,120.6231638,313.3511988,0.885882384,3.541599995,-4.346451123,-2.171213251,0.02
CC\C(C)=N\O,-1.029619417,1.068625632,22.94168782,56.05314584,0.343598085,1.24650003,-1.018755089,-1.816172402,-0.22184875
